,Unnamed: 0,miRNA,disease
0,1,hsa-let-7a,Breast Neoplasms
1,2,hsa-let-7b,Breast Neoplasms
2,3,hsa-let-7c,Breast Neoplasms
3,4,hsa-let-7d,Breast Neoplasms
4,5,hsa-let-7e,Breast Neoplasms
5,6,hsa-let-7f,Breast Neoplasms
6,7,hsa-let-7g,Breast Neoplasms
7,8,hsa-let-7i,Breast Neoplasms
8,9,hsa-mir-1,Breast Neoplasms
9,10,hsa-mir-100,Breast Neoplasms
10,11,hsa-mir-101,Breast Neoplasms
11,12,hsa-mir-105,Breast Neoplasms
12,13,hsa-mir-106a,Breast Neoplasms
13,14,hsa-mir-106b,Breast Neoplasms
14,15,hsa-mir-107,Breast Neoplasms
15,16,hsa-mir-10a,Breast Neoplasms
16,17,hsa-mir-10b,Breast Neoplasms
17,18,hsa-mir-122,Breast Neoplasms
18,19,hsa-mir-124,Breast Neoplasms
19,20,hsa-mir-125a,Breast Neoplasms
20,21,hsa-mir-126,Breast Neoplasms
21,22,hsa-mir-127,Breast Neoplasms
22,23,hsa-mir-128,Breast Neoplasms
23,24,hsa-mir-129,Breast Neoplasms
24,25,hsa-mir-130a,Breast Neoplasms
25,26,hsa-mir-130b,Breast Neoplasms
26,27,hsa-mir-132,Breast Neoplasms
27,28,hsa-mir-133a,Breast Neoplasms
28,29,hsa-mir-133b,Breast Neoplasms
29,30,hsa-mir-134,Breast Neoplasms
30,31,hsa-mir-135a,Breast Neoplasms
31,32,hsa-mir-135b,Breast Neoplasms
32,33,hsa-mir-136,Breast Neoplasms
33,34,hsa-mir-137,Breast Neoplasms
34,35,hsa-mir-138,Breast Neoplasms
35,36,hsa-mir-139,Breast Neoplasms
36,37,hsa-mir-140,Breast Neoplasms
37,38,hsa-mir-141,Breast Neoplasms
38,39,hsa-mir-143,Breast Neoplasms
39,40,hsa-mir-144,Breast Neoplasms
40,41,hsa-mir-145,Breast Neoplasms
41,42,hsa-mir-146a,Breast Neoplasms
42,43,hsa-mir-146b,Breast Neoplasms
43,44,hsa-mir-148a,Breast Neoplasms
44,45,hsa-mir-148b,Breast Neoplasms
45,46,hsa-mir-149,Breast Neoplasms
46,47,hsa-mir-150,Breast Neoplasms
47,48,hsa-mir-152,Breast Neoplasms
48,49,hsa-mir-153,Breast Neoplasms
49,50,hsa-mir-154,Breast Neoplasms
50,51,hsa-mir-155,Breast Neoplasms
51,52,hsa-mir-15a,Breast Neoplasms
52,53,hsa-mir-15b,Breast Neoplasms
53,54,hsa-mir-16,Breast Neoplasms
54,55,hsa-mir-181a,Breast Neoplasms
55,56,hsa-mir-181b,Breast Neoplasms
56,57,hsa-mir-181c,Breast Neoplasms
57,58,hsa-mir-181d,Breast Neoplasms
58,59,hsa-mir-182,Breast Neoplasms
59,60,hsa-mir-183,Breast Neoplasms
60,61,hsa-mir-184,Breast Neoplasms
61,62,hsa-mir-185,Breast Neoplasms
62,63,hsa-mir-186,Breast Neoplasms
63,64,hsa-mir-187,Breast Neoplasms
64,65,hsa-mir-188,Breast Neoplasms
65,66,hsa-mir-189,Breast Neoplasms
66,67,hsa-mir-18a,Breast Neoplasms
67,68,hsa-mir-18b,Breast Neoplasms
68,69,hsa-mir-191,Breast Neoplasms
69,70,hsa-mir-192,Breast Neoplasms
70,71,hsa-mir-193a,Breast Neoplasms
71,72,hsa-mir-193b,Breast Neoplasms
72,73,hsa-mir-194,Breast Neoplasms
73,74,hsa-mir-195,Breast Neoplasms
74,75,hsa-mir-196a,Breast Neoplasms
75,76,hsa-mir-196b,Breast Neoplasms
76,77,hsa-mir-197,Breast Neoplasms
77,78,hsa-mir-198,Breast Neoplasms
78,79,hsa-mir-199a,Breast Neoplasms
79,80,hsa-mir-199b,Breast Neoplasms
80,81,hsa-mir-19a,Breast Neoplasms
81,82,hsa-mir-19b,Breast Neoplasms
82,83,hsa-mir-200a,Breast Neoplasms
83,84,hsa-mir-200b,Breast Neoplasms
84,85,hsa-mir-200c,Breast Neoplasms
85,86,hsa-mir-202,Breast Neoplasms
86,87,hsa-mir-203,Breast Neoplasms
87,88,hsa-mir-204,Breast Neoplasms
88,89,hsa-mir-205,Breast Neoplasms
89,90,hsa-mir-206,Breast Neoplasms
90,91,hsa-mir-21,Breast Neoplasms
91,92,hsa-mir-210,Breast Neoplasms
92,93,hsa-mir-211,Breast Neoplasms
93,94,hsa-mir-212,Breast Neoplasms
94,95,hsa-mir-214,Breast Neoplasms
95,96,hsa-mir-215,Breast Neoplasms
96,97,hsa-mir-217,Breast Neoplasms
97,98,hsa-mir-218,Breast Neoplasms
98,99,hsa-mir-219,Breast Neoplasms
99,100,hsa-mir-22,Breast Neoplasms
100,101,hsa-mir-221,Breast Neoplasms
101,102,hsa-mir-222,Breast Neoplasms
102,103,hsa-mir-223,Breast Neoplasms
103,104,hsa-mir-224,Breast Neoplasms
104,105,hsa-mir-23a,Breast Neoplasms
