,Unnamed: 0,miRNA,disease
0,1,hsa-let-7a,Breast Neoplasms
1,2,hsa-let-7d,Breast Neoplasms
2,3,hsa-let-7f,Breast Neoplasms
3,4,hsa-let-7i,Breast Neoplasms
4,5,hsa-mir-101,Breast Neoplasms
5,6,hsa-mir-10b,Breast Neoplasms
6,7,hsa-mir-122a,Breast Neoplasms
7,8,hsa-mir-124a,Breast Neoplasms
8,9,hsa-mir-125a,Breast Neoplasms
9,10,hsa-mir-125b,Breast Neoplasms
10,11,hsa-mir-126,Breast Neoplasms
11,12,hsa-mir-127,Breast Neoplasms
12,13,hsa-mir-128a,Breast Neoplasms
13,14,hsa-mir-128b,Breast Neoplasms
14,15,hsa-mir-136,Breast Neoplasms
15,16,hsa-mir-141,Breast Neoplasms
16,17,hsa-mir-143,Breast Neoplasms
17,18,hsa-mir-145,Breast Neoplasms
18,19,hsa-mir-146a,Breast Neoplasms
19,20,hsa-mir-146b,Breast Neoplasms
20,21,hsa-mir-148a,Breast Neoplasms
21,22,hsa-mir-149,Breast Neoplasms
22,23,hsa-mir-152,Breast Neoplasms
23,24,hsa-mir-155,Breast Neoplasms
24,25,hsa-mir-17,Breast Neoplasms
25,26,hsa-mir-170,Breast Neoplasms
26,27,hsa-mir-181a,Breast Neoplasms
27,28,hsa-mir-181b,Breast Neoplasms
28,29,hsa-mir-181d,Breast Neoplasms
29,30,hsa-mir-182,Breast Neoplasms
30,31,hsa-mir-18a,Breast Neoplasms
31,32,hsa-mir-191,Breast Neoplasms
32,33,hsa-mir-193b,Breast Neoplasms
33,34,hsa-mir-195,Breast Neoplasms
34,35,hsa-mir-196a,Breast Neoplasms
35,36,hsa-mir-200a,Breast Neoplasms
36,37,hsa-mir-200b,Breast Neoplasms
37,38,hsa-mir-200c,Breast Neoplasms
38,39,hsa-mir-202,Breast Neoplasms
39,40,hsa-mir-203,Breast Neoplasms
40,41,hsa-mir-204,Breast Neoplasms
41,42,hsa-mir-205,Breast Neoplasms
42,43,hsa-mir-206,Breast Neoplasms
43,44,hsa-mir-20a,Breast Neoplasms
44,45,hsa-mir-21,Breast Neoplasms
45,46,hsa-mir-210,Breast Neoplasms
46,47,hsa-mir-213,Breast Neoplasms
47,48,hsa-mir-22,Breast Neoplasms
48,49,hsa-mir-221,Breast Neoplasms
49,50,hsa-mir-222,Breast Neoplasms
50,51,hsa-mir-26a,Breast Neoplasms
51,52,hsa-mir-27a,Breast Neoplasms
52,53,hsa-mir-29b,Breast Neoplasms
53,54,hsa-mir-29c,Breast Neoplasms
54,55,hsa-mir-30a,Breast Neoplasms
55,56,hsa-mir-31,Breast Neoplasms
56,57,hsa-mir-31a,Breast Neoplasms
57,58,hsa-mir-320,Breast Neoplasms
58,59,hsa-mir-328,Breast Neoplasms
59,60,hsa-mir-335,Breast Neoplasms
60,61,hsa-mir-355,Breast Neoplasms
61,62,hsa-mir-365,Breast Neoplasms
62,63,hsa-mir-373,Breast Neoplasms
63,64,hsa-mir-429,Breast Neoplasms
64,65,hsa-mir-451,Breast Neoplasms
65,66,hsa-mir-497,Breast Neoplasms
66,67,hsa-mir-510,Breast Neoplasms
67,68,hsa-mir-516,Breast Neoplasms
68,69,hsa-mir-520c,Breast Neoplasms
69,70,hsa-mir-661,Breast Neoplasms
70,71,hsa-mir-663,Breast Neoplasms
71,72,hsa-mir-7,Breast Neoplasms
72,73,hsa-mir-9,Breast Neoplasms
73,74,hsa-mir-96,Breast Neoplasms
74,75,hsa-mir-98,Breast Neoplasms
75,76,hsa-let-7a,Colonic Neoplasms
76,77,hsa-let-7b,Colonic Neoplasms
77,78,hsa-let-7f,Colonic Neoplasms
78,79,hsa-let-7g,Colonic Neoplasms
79,80,hsa-mir-1,Colonic Neoplasms
80,81,hsa-mir-106a,Colonic Neoplasms
81,82,hsa-mir-106b,Colonic Neoplasms
82,83,hsa-mir-107,Colonic Neoplasms
83,84,hsa-mir-10a,Colonic Neoplasms
84,85,hsa-mir-10b,Colonic Neoplasms
85,86,hsa-mir-124a,Colonic Neoplasms
86,87,hsa-mir-125a,Colonic Neoplasms
87,88,hsa-mir-126,Colonic Neoplasms
88,89,hsa-mir-127,Colonic Neoplasms
89,90,hsa-mir-128b,Colonic Neoplasms
90,91,hsa-mir-129,Colonic Neoplasms
91,92,hsa-mir-130b,Colonic Neoplasms
92,93,hsa-mir-132,Colonic Neoplasms
93,94,hsa-mir-133a,Colonic Neoplasms
94,95,hsa-mir-133b,Colonic Neoplasms
95,96,hsa-mir-135b,Colonic Neoplasms
96,97,hsa-mir-137,Colonic Neoplasms
97,98,hsa-mir-139,Colonic Neoplasms
98,99,hsa-mir-140,Colonic Neoplasms
99,100,hsa-mir-141,Colonic Neoplasms
100,101,hsa-mir-143,Colonic Neoplasms
101,102,hsa-mir-145,Colonic Neoplasms
102,103,hsa-mir-155,Colonic Neoplasms
103,104,hsa-mir-15b,Colonic Neoplasms
104,105,hsa-mir-17,Colonic Neoplasms
105,106,hsa-mir-181a,Colonic Neoplasms
106,107,hsa-mir-181b,Colonic Neoplasms
107,108,hsa-mir-182,Colonic Neoplasms
108,109,hsa-mir-183,Colonic Neoplasms
109,110,hsa-mir-18a,Colonic Neoplasms
110,111,hsa-mir-191,Colonic Neoplasms
111,112,hsa-mir-192,Colonic Neoplasms
112,113,hsa-mir-194,Colonic Neoplasms
113,114,hsa-mir-195,Colonic Neoplasms
114,115,hsa-mir-196a,Colonic Neoplasms
115,116,hsa-mir-19a,Colonic Neoplasms
116,117,hsa-mir-19b,Colonic Neoplasms
117,118,hsa-mir-200c,Colonic Neoplasms
118,119,hsa-mir-203,Colonic Neoplasms
119,120,hsa-mir-20a,Colonic Neoplasms
120,121,hsa-mir-21,Colonic Neoplasms
121,122,hsa-mir-215,Colonic Neoplasms
122,123,hsa-mir-221,Colonic Neoplasms
123,124,hsa-mir-223,Colonic Neoplasms
124,125,hsa-mir-224,Colonic Neoplasms
125,126,hsa-mir-23a,Colonic Neoplasms
126,127,hsa-mir-24,Colonic Neoplasms
127,128,hsa-mir-25,Colonic Neoplasms
128,129,hsa-mir-26a,Colonic Neoplasms
129,130,hsa-mir-27a,Colonic Neoplasms
130,131,hsa-mir-27b,Colonic Neoplasms
131,132,hsa-mir-296,Colonic Neoplasms
132,133,hsa-mir-29a,Colonic Neoplasms
133,134,hsa-mir-29b,Colonic Neoplasms
134,135,hsa-mir-30a,Colonic Neoplasms
135,136,hsa-mir-30c,Colonic Neoplasms
136,137,hsa-mir-31,Colonic Neoplasms
137,138,hsa-mir-32,Colonic Neoplasms
138,139,hsa-mir-320,Colonic Neoplasms
139,140,hsa-mir-328,Colonic Neoplasms
140,141,hsa-mir-339,Colonic Neoplasms
141,142,hsa-mir-342,Colonic Neoplasms
142,143,hsa-mir-34a,Colonic Neoplasms
143,144,hsa-mir-34b,Colonic Neoplasms
144,145,hsa-mir-34c,Colonic Neoplasms
145,146,hsa-mir-372,Colonic Neoplasms
146,147,hsa-mir-378,Colonic Neoplasms
147,148,hsa-mir-422a,Colonic Neoplasms
148,149,hsa-mir-422b,Colonic Neoplasms
149,150,hsa-mir-451,Colonic Neoplasms
150,151,hsa-mir-497,Colonic Neoplasms
151,152,hsa-mir-7,Colonic Neoplasms
152,153,hsa-mir-9,Colonic Neoplasms
153,154,hsa-mir-92,Colonic Neoplasms
154,155,hsa-mir-93,Colonic Neoplasms
155,156,hsa-mir-95,Colonic Neoplasms
156,157,hsa-mir-96,Colonic Neoplasms
157,158,hsa-let-7a,Colon Neoplasms
158,159,hsa-let-7b,Colon Neoplasms
159,160,hsa-let-7f,Colon Neoplasms
160,161,hsa-let-7g,Colon Neoplasms
161,162,hsa-mir-1,Colon Neoplasms
162,163,hsa-mir-106a,Colon Neoplasms
163,164,hsa-mir-106b,Colon Neoplasms
164,165,hsa-mir-107,Colon Neoplasms
165,166,hsa-mir-10a,Colon Neoplasms
166,167,hsa-mir-10b,Colon Neoplasms
167,168,hsa-mir-124a,Colon Neoplasms
168,169,hsa-mir-125a,Colon Neoplasms
169,170,hsa-mir-126,Colon Neoplasms
170,171,hsa-mir-127,Colon Neoplasms
171,172,hsa-mir-128b,Colon Neoplasms
172,173,hsa-mir-129,Colon Neoplasms
173,174,hsa-mir-130b,Colon Neoplasms
174,175,hsa-mir-132,Colon Neoplasms
175,176,hsa-mir-133a,Colon Neoplasms
176,177,hsa-mir-133b,Colon Neoplasms
177,178,hsa-mir-135b,Colon Neoplasms
178,179,hsa-mir-137,Colon Neoplasms
179,180,hsa-mir-139,Colon Neoplasms
180,181,hsa-mir-140,Colon Neoplasms
181,182,hsa-mir-141,Colon Neoplasms
182,183,hsa-mir-143,Colon Neoplasms
183,184,hsa-mir-145,Colon Neoplasms
184,185,hsa-mir-155,Colon Neoplasms
185,186,hsa-mir-15b,Colon Neoplasms
186,187,hsa-mir-17,Colon Neoplasms
187,188,hsa-mir-181a,Colon Neoplasms
188,189,hsa-mir-181b,Colon Neoplasms
189,190,hsa-mir-182,Colon Neoplasms
190,191,hsa-mir-183,Colon Neoplasms
191,192,hsa-mir-18a,Colon Neoplasms
192,193,hsa-mir-191,Colon Neoplasms
193,194,hsa-mir-192,Colon Neoplasms
194,195,hsa-mir-194,Colon Neoplasms
195,196,hsa-mir-195,Colon Neoplasms
196,197,hsa-mir-196a,Colon Neoplasms
197,198,hsa-mir-19a,Colon Neoplasms
198,199,hsa-mir-19b,Colon Neoplasms
199,200,hsa-mir-200c,Colon Neoplasms
200,201,hsa-mir-203,Colon Neoplasms
201,202,hsa-mir-20a,Colon Neoplasms
202,203,hsa-mir-21,Colon Neoplasms
203,204,hsa-mir-215,Colon Neoplasms
204,205,hsa-mir-221,Colon Neoplasms
205,206,hsa-mir-223,Colon Neoplasms
206,207,hsa-mir-224,Colon Neoplasms
207,208,hsa-mir-23a,Colon Neoplasms
208,209,hsa-mir-24,Colon Neoplasms
209,210,hsa-mir-25,Colon Neoplasms
210,211,hsa-mir-26a,Colon Neoplasms
211,212,hsa-mir-27a,Colon Neoplasms
212,213,hsa-mir-27b,Colon Neoplasms
213,214,hsa-mir-296,Colon Neoplasms
214,215,hsa-mir-29a,Colon Neoplasms
215,216,hsa-mir-29b,Colon Neoplasms
216,217,hsa-mir-30a,Colon Neoplasms
217,218,hsa-mir-30c,Colon Neoplasms
218,219,hsa-mir-31,Colon Neoplasms
219,220,hsa-mir-32,Colon Neoplasms
220,221,hsa-mir-320,Colon Neoplasms
221,222,hsa-mir-328,Colon Neoplasms
222,223,hsa-mir-339,Colon Neoplasms
223,224,hsa-mir-342,Colon Neoplasms
224,225,hsa-mir-34a,Colon Neoplasms
225,226,hsa-mir-34b,Colon Neoplasms
226,227,hsa-mir-34c,Colon Neoplasms
227,228,hsa-mir-372,Colon Neoplasms
228,229,hsa-mir-378,Colon Neoplasms
